Rank,Artist,Song,Date,Last Week,Peak,Weeks,Image
64,Lewis Capaldi,Someone You Loved,2021-09-04,64,24,51,https://charts-static.billboard.com/img/2019/02/lewis-capaldi-s2h-180x180.jpg
65,Dua Lipa,Don't Start Now,2021-09-04,61,30,51,https://charts-static.billboard.com/img/2015/11/dua-lipa-5k0-180x180.jpg
66,Dua Lipa,Love Again,2021-09-04,63,63,12,https://charts-static.billboard.com/img/2015/11/dua-lipa-5k0-180x180.jpg
67,Trippie Redd Featuring Lil Durk & Polo G,Rich MF,2021-09-04,-,67,1,https://charts-static.billboard.com/img/2017/09/trippie-redd-by4-180x180.jpg
68,Olivia Rodrigo,Happier,2021-09-04,59,14,14,https://charts-static.billboard.com/img/2019/11/olivia-rodrigo-3wl-180x180.jpg
69,Maroon 5 Featuring Megan Thee Stallion,Beautiful Mistakes,2021-09-04,58,24,25,https://charts-static.billboard.com/img/2021/03/maroon-5-kks-beautiful-mistakes-eyo-180x180.jpg
70,"Tiago pzk, LIT killa, Nicki Nicole & Maria Becerra",Entre Nosotros,2021-09-04,62,55,6,https://charts-static.billboard.com/img/2021/07/tiago-pzk-000-entre-nosotros-sjy-180x180.jpg
71,Rauw Alejandro,Curame,2021-09-04,80,71,3,https://charts-static.billboard.com/img/2018/09/rauwalejandro-37g-180x180.jpg
72,Polo G,Rapstar,2021-09-04,53,3,20,https://charts-static.billboard.com/img/2021/04/polo-g-n1o-rapstar-qed-180x180.jpg
73,Post Malone,Motley Crew,2021-09-04,55,13,7,https://charts-static.billboard.com/img/2021/07/post-malone-8b5-motleycrew-y51-180x180.jpg
74,J Balvin & Skrillex,In Da Getto,2021-09-04,86,74,8,https://charts-static.billboard.com/img/2021/07/j-balvin-i5b-in-da-getto-ssj-180x180.jpg
75,TINI X Maria Becerra,Mienteme,2021-09-04,68,65,17,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
76,Marc Segui & Pol Granch & Rauw Alejandro,Tiroteo,2021-09-04,66,63,8,https://charts-static.billboard.com/img/2018/09/rauwalejandro-37g-180x180.jpg
77,Pinkfong,Baby Shark,2021-09-04,72,38,50,https://charts-static.billboard.com/img/2018/07/pinkfong-2rz-180x180.jpg
78,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),2021-09-04,78,47,51,https://charts-static.billboard.com/img/2015/06/post-malone-8b5-180x180.jpg
79,Olivia Rodrigo,"Jealousy, Jealousy",2021-09-04,67,19,14,https://charts-static.billboard.com/img/2019/11/olivia-rodrigo-3wl-180x180.jpg
80,Stray Kids,Thunderous,2021-09-04,-,80,1,https://charts-static.billboard.com/img/2017/11/straykids-0y0-180x180.jpg
81,Giveon,Heartbreak Anniversary,2021-09-04,74,10,28,https://charts-static.billboard.com/img/2021/02/giveon-k6h-heartbreak-anniversary-4n9-180x180.jpg
82,Drake Featuring Lil Baby,Wants And Needs,2021-09-04,77,2,25,https://charts-static.billboard.com/img/2021/03/drake-04g-wantsandneeds-sfa-180x180.jpg
83,Olivia Rodrigo,Brutal,2021-09-04,144,11,14,https://charts-static.billboard.com/img/2019/11/olivia-rodrigo-3wl-180x180.jpg
84,Olivia Rodrigo,Favorite Crime,2021-09-04,73,14,14,https://charts-static.billboard.com/img/2019/11/olivia-rodrigo-3wl-180x180.jpg
85,Travis Scott & HVME,Goosebumps,2021-09-04,69,15,35,https://charts-static.billboard.com/img/2020/12/travis-scott-z9o-goosebumps-7u2-180x180.jpg
86,Megan Thee Stallion,THOT SHIT,2021-09-04,71,27,11,https://charts-static.billboard.com/img/2021/06/megan-thee-stallion-dkc-thot-shit-zsq-180x180.jpg
87,"Galantis, David Guetta & Little Mix",Heartbreak Anthem,2021-09-04,79,52,14,https://charts-static.billboard.com/img/2021/05/galantis-ems-heartbreak-anthem-5fm-180x180.jpg
88,Sebastian Yatra X Myke Towers,Pareja del Ano,2021-09-04,70,16,19,https://charts-static.billboard.com/img/2021/05/sebastian-yatra-q66-pareja-del-ano-sly-180x180.jpg
89,Tai Verdes,A-O-K,2021-09-04,92,89,5,https://charts-static.billboard.com/img/2020/11/taiverdes-oo5-180x180.jpg
90,Trippie Redd Featuring Drake,Betrayal,2021-09-04,-,90,1,https://charts-static.billboard.com/img/2017/09/trippie-redd-by4-180x180.jpg
91,Justin Wellington Featuring Small Jam,Iko Iko (My Bestie),2021-09-04,81,68,12,https://charts-static.billboard.com/img/2021/04/justin-wellington-000-iko-iko-my-bestie-02a-180x180.jpg
92,Post Malone,Circles,2021-09-04,85,49,51,https://charts-static.billboard.com/img/2015/06/post-malone-8b5-180x180.jpg
93,Lorde,Mood Ring,2021-09-04,-,93,1,https://charts-static.billboard.com/img/2013/03/lorde-gw0-180x180.jpg
94,Trippie Redd & Playboi Carti,Miss The Rage,2021-09-04,-,13,11,https://charts-static.billboard.com/img/2021/05/trippie-redd-by4-miss-the-rage-xoh-180x180.jpg
95,Silk Sonic (Bruno Mars & Anderson .Paak),Skate,2021-09-04,56,18,4,https://charts-static.billboard.com/img/2021/08/silk-sonic-bruno-mars-and-anderson-paak-qd5-skate-v1h-180x180.jpg
96,SAINt JHN,Roses,2021-09-04,83,14,51,https://charts-static.billboard.com/img/2020/03/saint-jhn-y2f-roses-h0w-180x180.jpg
97,Sam Smith,Like I Can,2021-09-04,-,97,1,https://charts-static.billboard.com/img/2012/11/sam-smith-jw8-180x180.jpg
98,The Neighbourhood,Sweater Weather,2021-09-04,90,62,48,https://charts-static.billboard.com/img/2013/03/the-neighbourhood-ro9-180x180.jpg
99,Fleetwood Mac,Dreams,2021-09-04,97,10,48,https://charts-static.billboard.com/img/2011/05/fleetwood-mac-fe3-dreams-jvb-180x180.jpg
100,Nelly & Florida Georgia Line,Lil Bit,2021-09-04,87,76,17,https://charts-static.billboard.com/img/2020/11/nelly-yua-lil-bit-mdq-180x180.jpg
101,Blxst & Tyga Featuring Ty Dolla $ign,Chosen,2021-09-04,124,101,2,https://charts-static.billboard.com/img/2020/07/blxst-8s1-180x180.jpg
102,Sefo,Bilmem Mi?,2021-09-04,82,82,2,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
103,Duncan Laurence,Arcade,2021-09-04,95,36,30,https://charts-static.billboard.com/img/2021/02/duncan-laurence-030-arcade-ggy-180x180.jpg
104,OneRepublic,Run,2021-09-04,94,67,16,https://charts-static.billboard.com/img/2007/04/onerepublic-m2z-180x180.jpg
105,Becky Hill & David Guetta,Remember,2021-09-04,89,89,5,https://charts-static.billboard.com/img/2021/07/becky-hill-a0n-remember-1q3-180x180.jpg
106,J Balvin x Karol G x Nicky Jam Featuring Crissin x Totoy El Frio x Natan & Shander,Poblado (Remix),2021-09-04,84,47,10,https://charts-static.billboard.com/img/2021/06/j-balvin-i5b-poblado-remix-ovf-180x180.jpg
107,Tiesto & Karol G,Don't Be Shy,2021-09-04,76,76,2,https://charts-static.billboard.com/img/2021/08/tiesto-e64-dont-be-shy-8hc-180x180.jpg
108,Billie Eilish,Bad Guy,2021-09-04,93,54,51,https://charts-static.billboard.com/img/2019/04/billie-eilish-lrt-bad-guy-vul-180x180.jpg
109,Rod Wave Featuring Lil Durk,Already Won,2021-09-04,-,109,1,https://charts-static.billboard.com/img/2019/06/rod-wave-qt2-180x180.jpg
110,Lady Gaga & Bradley Cooper,Shallow,2021-09-04,102,59,51,https://charts-static.billboard.com/img/2008/04/lady-gaga-b8x-180x180.jpg
111,Nirvana,Smells Like Teen Spirit,2021-09-04,116,110,34,https://charts-static.billboard.com/img/2011/04/nirvana-ug8-smells-like-teen-spirit-is8-180x180.jpg
112,Queen,Bohemian Rhapsody,2021-09-04,108,101,47,https://charts-static.billboard.com/img/2005/02/queen-m21-180x180.jpg
113,Joao Gomes,Meu Pedaco de Pecado,2021-09-04,91,74,8,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
114,Official HIGE DANdism,Cry Baby,2021-09-04,121,114,9,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
115,"Justin Quiles, Chimbala X Zion & Lennox",Loco,2021-09-04,101,93,7,https://charts-static.billboard.com/img/2021/06/justin-quiles-hyk-loco-qzq-180x180.jpg
116,Ariana Grande,Positions,2021-09-04,100,1,44,https://charts-static.billboard.com/img/2020/11/ariana-grande-da0-positions-7tu-180x180.jpg
117,Trippie Redd Featuring Lil Uzi Vert,Holy Smokes,2021-09-04,-,72,2,https://charts-static.billboard.com/img/2017/09/trippie-redd-by4-180x180.jpg
118,Billie Eilish & Khalid,Lovely,2021-09-04,113,70,51,https://charts-static.billboard.com/img/2018/05/billie-eilish-lrt-lovely-hww-180x180.jpg
119,Joel Corry X MNEK,Head & Heart,2021-09-04,107,17,51,https://charts-static.billboard.com/img/2020/07/joel-corry-000-head-and-heart-aga-180x180.jpg
120,Rauw Alejandro X Mr. Naisgai,2/Catorce,2021-09-04,106,43,16,https://charts-static.billboard.com/img/2018/09/rauwalejandro-37g-180x180.jpg
121,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road,2021-09-04,112,70,51,https://charts-static.billboard.com/img/2019/01/lil-nas-x-qv4-180x180.jpg
122,DJ Khaled Featuring Lil Baby & Lil Durk,Every Chance I Get,2021-09-04,98,27,17,https://charts-static.billboard.com/img/2006/02/dj-khaled-2l5-180x180.jpg
123,Shawn Mendes & Camila Cabello,Senorita,2021-09-04,129,67,51,https://charts-static.billboard.com/img/2014/07/shawn-mendes-pz2-180x180.jpg
124,Doja Cat,Streets,2021-09-04,110,8,33,https://charts-static.billboard.com/img/2018/04/doja-cat-lm6-180x180.jpg
125,Lorde,Solar Power,2021-09-04,-,26,4,https://charts-static.billboard.com/img/2021/06/lorde-dbe-solar-power-hbg-180x180.jpg
126,The Chainsmokers Featuring Halsey,Closer,2021-09-04,119,100,47,https://charts-static.billboard.com/img/2013/11/the-chainsmokers-39n-87x87.jpg
127,Lewis Capaldi,Before You Go,2021-09-04,120,32,51,https://charts-static.billboard.com/img/2017/04/lewis-capaldi-s2h-180x180.jpg
128,Pop Smoke Featuring Lil Baby & DaBaby,For The Night,2021-09-04,127,7,51,https://charts-static.billboard.com/img/2019/08/pop-smoke-2yd-180x180.jpg
129,back number,Suiheisen,2021-09-04,123,123,2,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
130,OneRepublic,Counting Stars,2021-09-04,122,122,29,https://charts-static.billboard.com/img/2007/04/onerepublic-m2z-180x180.jpg
131,Maluma,Hawai,2021-09-04,115,3,51,https://charts-static.billboard.com/img/2020/08/maluma-xt7-hawai-vy6-180x180.jpg
132,Red Velvet,Queendom,2021-09-04,96,96,2,https://charts-static.billboard.com/img/2014/08/red-velvet-ais-180x180.jpg
133,Normani Featuring Cardi B,Wild Side,2021-09-04,104,27,6,https://charts-static.billboard.com/img/2021/07/normani-kordei-nwb-wild-side-kl8-180x180.jpg
134,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito,2021-09-04,117,114,47,https://charts-static.billboard.com/img/2017/02/luis-fonsi-nni-despacito-80r-180x180.jpg
135,Steve Lacy,Dark Red,2021-09-04,145,135,2,https://charts-static.billboard.com/img/2016/12/steve-lacy-d2o-180x180.jpg
136,Nathan Evans,Wellerman,2021-09-04,114,16,31,https://charts-static.billboard.com/img/2021/02/nathan-evans-000-wellerman-w2e-180x180.jpg
137,Ariana Grande,34+35,2021-09-04,128,2,43,https://charts-static.billboard.com/img/2020/11/ariana-grande-da0-34-35-9yx-180x180.jpg
138,Jasleen Royal & B. Praak,"Ranjha (From ""Shershaah"")",2021-09-04,-,138,1,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
139,Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat),2021-09-04,131,1,51,https://charts-static.billboard.com/img/2020/06/jawsh-685-000-savage-love-laxed-siren-beat-ii1-180x180.jpg
140,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,2021-09-04,140,17,51,https://charts-static.billboard.com/img/2020/06/jackharlow-i43-whatspoppin-q71-180x180.jpg
141,Surf Curse,Freaks,2021-09-04,136,136,10,https://charts-static.billboard.com/img/2020/01/surf-curse-x5a-180x180.jpg
142,Hozier,Take Me To Church,2021-09-04,151,129,33,https://charts-static.billboard.com/img/2014/05/hozier-yyf-takemetochurch-5cv-180x180.jpg
143,DaBaby Featuring Roddy Ricch,Rockstar,2021-09-04,137,8,51,https://charts-static.billboard.com/img/2017/01/dababy-sfn-180x180.jpg
144,Kane Brown X blackbear,Memory,2021-09-04,125,69,7,https://charts-static.billboard.com/img/2021/07/kane-brown-dqa-memory-wca-180x180.jpg
145,Travis Scott,Goosebumps,2021-09-04,143,102,48,https://charts-static.billboard.com/img/2016/10/travis-scott-jll-180x180.jpg
146,Saweetie Featuring Doja Cat,Best Friend,2021-09-04,130,31,33,https://charts-static.billboard.com/img/2021/01/saweetie-plv-best-friend-tlw-180x180.jpg
147,Ryan Hurd With Maren Morris,Chasing After You,2021-09-04,171,147,5,https://charts-static.billboard.com/img/2021/02/ryan-hurd-x0k-chasing-after-you-cqm-180x180.jpg
148,Roddy Ricch,Late At Night,2021-09-04,126,27,12,https://charts-static.billboard.com/img/2021/06/roddy-ricch-zyg-lateatnight-nwt-180x180.jpg
149,Journey,Don't Stop Believin',2021-09-04,147,125,45,https://charts-static.billboard.com/img/2005/08/journey-0b3-dontstopbelievin-mvt-180x180.jpg
150,YOASOBI,Yoru Ni Kakeru,2021-09-04,135,16,51,https://charts-static.billboard.com/img/2020/09/yoasobi-i3g-yoru-ni-kakeru-tq6-180x180.jpg
151,Gera MX + Christian Nodal,Botella Tras Botella,2021-09-04,134,9,18,https://charts-static.billboard.com/img/2021/05/gera-mx-000-botella-tras-botella-1be-180x180.jpg
152,Bruno Mars,Talking To The Moon,2021-09-04,148,57,22,https://charts-static.billboard.com/img/2010/01/bruno-mars-c75-180x180.jpg
153,Tate McRae,You Broke Me First.,2021-09-04,159,16,51,https://charts-static.billboard.com/img/2020/08/tatemcrae-rxu-youbrokemefirst-int-180x180.jpg
154,Internet Money & Gunna Featuring Don Toliver & NAV,Lemonade,2021-09-04,150,4,51,https://charts-static.billboard.com/img/2019/10/internet-money-vaq-180x180.jpg
155,Trippie Redd Featuring SoFaygo,MP5,2021-09-04,-,155,1,https://charts-static.billboard.com/img/2017/09/trippie-redd-by4-180x180.jpg
156,Luke Combs,Forever After All,2021-09-04,146,4,36,https://charts-static.billboard.com/img/2020/11/luke-combs-9dm-forever-after-all-3x8-180x180.jpg
157,Ed Sheeran,Thinking Out Loud,2021-09-04,168,103,42,https://charts-static.billboard.com/img/2011/07/ed-sheeran-w3r-180x180.jpg
158,Karol G & Mariah Angeliq,El Makinon,2021-09-04,138,39,22,https://charts-static.billboard.com/img/2016/05/karol-g-tb3-180x180.jpg
159,Maroon 5,Memories,2021-09-04,149,71,51,https://charts-static.billboard.com/img/2019/10/maroon-5-9st-180x180.jpg
160,Vance Joy,Riptide,2021-09-04,160,160,13,https://charts-static.billboard.com/img/2013/08/vance-joy-578-180x180.jpg
161,BIA Featuring Nicki Minaj,Whole Lotta Money,2021-09-04,133,32,7,https://charts-static.billboard.com/img/2021/06/bia-1yq-wholelottamoney-izt-180x180.jpg
162,Kali Uchis,Telepatia,2021-09-04,142,10,27,https://charts-static.billboard.com/img/2015/07/kali-uchis-dp2-180x180.jpg
163,Bella Poarch,Build A Bitch,2021-09-04,118,20,15,https://charts-static.billboard.com/img/2021/05/bellapoarch-sh2-buildabitch-8xr-180x180.jpg
164,Eagles,Hotel California,2021-09-04,157,148,45,https://charts-static.billboard.com/img/1972/06/eagles-ma9-180x180.jpg
165,Majestic X Boney M.,Rasputin,2021-09-04,111,69,18,https://charts-static.billboard.com/img/2021/05/majestic-sgt-rasputin-9jp-180x180.jpg
166,DJ Nelson Presenta Jay Wheeler & Myke Towers,La Curiosidad,2021-09-04,196,40,45,https://charts-static.billboard.com/img/2020/03/jay-wheeler-9ai-180x180.jpg
167,Guns N' Roses,Sweet Child O' Mine,2021-09-04,162,154,34,https://charts-static.billboard.com/img/2010/07/guns-n-roses-tp2-sweet-child-o-mine-jcn-180x180.jpg
168,J. Cole,No Role Modelz,2021-09-04,165,128,15,https://charts-static.billboard.com/img/2009/12/j-cole-9on-180x180.jpg
169,John Legend,All Of Me,2021-09-04,169,97,49,https://charts-static.billboard.com/img/2004/04/john-legend-035-180x180.jpg
170,Sueco,Paralyzed,2021-09-04,109,109,2,https://charts-static.billboard.com/img/2021/08/sueco-000-paralyzed-znb-180x180.jpg
171,The Killers,Mr. Brightside,2021-09-04,167,158,15,https://charts-static.billboard.com/img/2004/12/the-killers-7vb-mrbrightside-7k3-180x180.jpg
172,Ed Sheeran & Justin Bieber,I Don't Care,2021-09-04,182,105,47,https://charts-static.billboard.com/img/2019/05/ed-sheeran-w3r-i-dont-care-34w-180x180.jpg
173,Regard,Ride It.,2021-09-04,161,86,50,https://charts-static.billboard.com/img/2019/08/dj-regard-rjm-180x180.jpg
174,Cardi B Featuring Megan Thee Stallion,WAP,2021-09-04,152,1,51,https://charts-static.billboard.com/img/2020/08/cardi-b-7bz-wap-8b4-180x180.jpg
175,Khalid,Better,2021-09-04,188,175,3,https://charts-static.billboard.com/img/2016/07/khalid-f4f-106x106.jpg
176,John Amplificado,Chega E Senta,2021-09-04,-,176,1,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
177,James Arthur,Say You Won't Let Go,2021-09-04,177,96,47,https://charts-static.billboard.com/img/2016/11/james-arthur-p5t-106x106.jpg
178,Justin Bieber,Hold On,2021-09-04,172,4,25,https://charts-static.billboard.com/img/2021/03/justin-bieber-f8k-hold-on-urq-180x180.jpg
179,Calvin Harris Featuring Tom Grennan,By Your Side,2021-09-04,155,70,12,https://charts-static.billboard.com/img/2021/06/calvin-harris-ds5-by-your-side-xap-180x180.jpg
180,YOASOBI,Monster,2021-09-04,166,87,32,https://charts-static.billboard.com/img/2021/01/yoasobi-i3g-monster-fmi-180x180.jpg
181,The Chainsmokers & Coldplay,Something Just Like This,2021-09-04,187,133,38,https://charts-static.billboard.com/img/2013/11/the-chainsmokers-39n-87x87.jpg
182,AC/DC,Thunderstruck,2021-09-04,175,167,23,https://charts-static.billboard.com/img/2012/12/ac-dc-3eb-180x180.jpg
183,Coldplay,Yellow,2021-09-04,189,134,24,https://charts-static.billboard.com/img/2005/06/coldplay-bm3-yellow-ty6-180x180.jpg
184,TOMORROW X TOGETHER,Lo$er=Lo<3er,2021-09-04,-,184,1,https://charts-static.billboard.com/img/2019/03/tomorrow-x-together-hwd-180x180.jpg
185,Tom Odell,Another Love,2021-09-04,194,99,20,https://charts-static.billboard.com/img/2013/01/tom-odell-qwt-180x180.jpg
186,Pop Smoke,What You Know Bout Love,2021-09-04,186,11,51,https://charts-static.billboard.com/img/2019/08/pop-smoke-2yd-180x180.jpg
187,"Joel Corry, Jax Jones, Charli XCX & Saweetie",Out Out,2021-09-04,-,187,1,https://charts-static.billboard.com/img/2021/08/joel-corry-000-out-out-1vf-180x180.jpg
188,Avicii,Wake Me Up!,2021-09-04,179,179,14,https://charts-static.billboard.com/img/2010/07/avicii-uw1-180x180.jpg
189,Queen,Another One Bites The Dust,2021-09-04,176,159,23,https://charts-static.billboard.com/img/2011/04/queen-m21-180x180.jpg
190,The Weeknd Featuring Daft Punk,Starboy,2021-09-04,191,52,20,https://charts-static.billboard.com/img/2011/11/the-weeknd-xmx-180x180.jpg
191,Avicii,The Nights,2021-09-04,183,177,5,https://charts-static.billboard.com/img/2014/12/avicii-anu-the-nights-owd-180x180.jpg
192,ATB x Topic x A7S,Your Love (9PM),2021-09-04,153,37,29,https://charts-static.billboard.com/img/2021/02/atb-vk6-your-love-9pm-7tz-180x180.jpg
193,Dan + Shay,Glad You Exist,2021-09-04,105,105,8,https://charts-static.billboard.com/img/2021/02/dan-shay-mwp-glad-you-exist-zjc-180x180.jpg
194,Lil Tjay Featuring 6LACK,Calling My Phone,2021-09-04,170,2,28,https://charts-static.billboard.com/img/2021/02/lil-tjay-gqk-calling-my-phone-7y8-180x180.jpg
195,Trippie Redd Featuring XXXTENTACION,Danny Phantom,2021-09-04,-,195,1,https://charts-static.billboard.com/img/2017/09/trippie-redd-by4-180x180.jpg
196,Young Thug,Tick Tock,2021-09-04,-,196,1,https://charts-static.billboard.com/img/2014/02/young-thug-jvh-180x180.jpg
197,Coolio Featuring L.V.,Gangsta's Paradise,2021-09-04,193,178,10,https://charts-static.billboard.com/img/2010/11/coolio-i15-gangstasparadise-nqq-180x180.jpg
198,Yuuri,Dry Flower,2021-09-04,-,48,25,https://charts-static.billboard.com/img/2016/09/yuri-1-i9y-180x180.jpg
199,Joao Gomes,Aquelas Coisas,2021-09-04,181,158,4,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
200,Joao Gomes E Vitor Fernandes,Se For Amor,2021-09-04,158,156,6,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
1,The Kid LAROI & Justin Bieber,Stay,2021-08-28,1,1,6,https://charts-static.billboard.com/img/2021/07/the-kid-laroi-qev-stay-vsd-180x180.jpg
2,Ed Sheeran,Bad Habits,2021-08-28,2,1,8,https://charts-static.billboard.com/img/2021/07/ed-sheeran-w3r-bad-habits-i7l-180x180.jpg
3,Lil Nas X & Jack Harlow,Industry Baby,2021-08-28,3,3,4,https://charts-static.billboard.com/img/2021/08/lil-nas-x-qv4-industry-baby-bw6-180x180.jpg
4,Maneskin,Beggin',2021-08-28,4,3,11,https://charts-static.billboard.com/img/2017/12/maneskin-ews-180x180.jpg
5,Olivia Rodrigo,Good 4 U,2021-08-28,6,1,14,https://charts-static.billboard.com/img/2021/05/olivia-rodrigo-3wl-good-4-u-ysx-180x180.jpg
6,Billie Eilish,Happier Than Ever,2021-08-28,7,6,3,https://charts-static.billboard.com/img/2021/08/billie-eilish-lrt-happier-than-ever-xd9-180x180.jpg
7,The Weeknd & Ariana Grande,Save Your Tears,2021-08-28,9,1,33,https://charts-static.billboard.com/img/2020/12/the-weeknd-xmx-save-your-tears-e5b-180x180.jpg
8,Farruko,Pepas,2021-08-28,16,8,5,https://charts-static.billboard.com/img/2021/07/farruko-lo8-pepas-ymw-180x180.jpg
9,Dua Lipa,Levitating,2021-08-28,8,2,46,https://charts-static.billboard.com/img/2020/04/dua-lipa-eqf-levitating-tr9-180x180.jpg
10,Doja Cat,Need To Know,2021-08-28,12,10,10,https://charts-static.billboard.com/img/2021/06/doja-cat-lm6-need-to-know-9r2-180x180.jpg
11,Doja Cat Featuring SZA,Kiss Me More,2021-08-28,10,3,19,https://charts-static.billboard.com/img/2021/04/doja-cat-lm6-kiss-me-more-3fc-180x180.jpg
12,Lizzo Featuring Cardi B,Rumors,2021-08-28,-,12,1,https://charts-static.billboard.com/img/2021/08/lizzo-o9x-rumors-t3t-180x180.jpg
